 ##################################################################################################################################################################
 # [fnlo-tk-cppread] Calculate my cross sections
 ##################################################################################################################################################################
 #=================================================================================================================================================================
 # My Cross Sections
 # The scale factors xmur, xmuf chosen here are:      1.000,      1.000
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Mjj_[GeV]         ]  IODimI  [ Chi               ]  < <pT_1,2>_[ >  LO_cross_section   NLO_cross_section   KNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  500.0         1   1900.       2400.          1   1.000       2.000      1025.          6.70735299373E-02  7.56068057141E-02   1.12722
     2  500.0         1   1900.       2400.          2   2.000       3.000      947.4          5.72462383755E-02  6.31290630930E-02   1.10276
     3  500.0         1   1900.       2400.          3   3.000       4.000      872.0          5.74997710564E-02  6.18979948941E-02   1.07649
     4  500.0         1   1900.       2400.          4   4.000       5.000      809.0          5.92008964954E-02  6.24925464856E-02   1.05560
     5  500.0         1   1900.       2400.          5   5.000       6.000      757.1          6.11283313237E-02  6.32487055423E-02   1.03469
     6  500.0         1   1900.       2400.          6   6.000       7.000      713.3          6.30387721661E-02  6.43286524381E-02   1.02046
     7  500.0         1   1900.       2400.          7   7.000       8.000      676.5          6.48046018607E-02  6.50589035757E-02   1.00392
     8  500.0         1   1900.       2400.          8   8.000       9.000      644.2          6.64936950947E-02  6.58493778667E-02   0.99031
     9  500.0         1   1900.       2400.          9   9.000       10.00      616.3          6.80271539920E-02  6.67519801976E-02   0.98125
    10  1000.         1   1900.       2400.         10   10.00       12.00      581.0          7.01340179373E-02  6.75026786590E-02   0.96248
    11  1000.         1   1900.       2400.         11   12.00       14.00      541.1          7.26804569773E-02  6.88547773636E-02   0.94736
    12  1000.         1   1900.       2400.         12   14.00       16.00      508.9          7.49290299345E-02  6.94605290738E-02   0.92702
